grappe_path,grappe_pk,grappe_name,famille,subtree_size,depth_min,depth_max,existing_crosslinks
1.1,2,Généralisation hâtive,Insuffisance,68,2,7,44
1.2,70,Préjugé,Insuffisance,63,2,7,40
1.3,133,Surinterprétation,Insuffisance,42,2,7,28
2.1,176,Technique rhétorique,Influence,123,2,8,81
2.2,299,Appel à l'émotion,Influence,57,2,7,37
2.3,356,Manipulation mentale,Influence,239,2,8,195
3.1,595,Généralisation abusive,Erreur mathématique,37,2,6,36
3.2,632,Interprétation quantitative erronée,Erreur mathématique,34,2,6,24
3.3,666,Conclusion mathématique invalide,Erreur mathématique,30,2,6,14
4.1,697,Causalité douteuse,Erreur de raisonnement,29,2,6,20
4.2,726,Composition fautive,Erreur de raisonnement,32,2,6,30
4.3,758,Déduction invalide,Erreur de raisonnement,40,2,7,32
5.1,799,Définition biaisée,Abus de langage,34,2,7,28
5.2,833,Comparaison fallacieuse,Abus de langage,13,2,4,9
5.3,846,Ambiguïté,Abus de langage,41,2,7,26
6.1,888,Présentation trompeuse des faits,Tricherie,85,2,8,84
6.2,973,Déplacement des critères,Tricherie,51,2,7,53
6.3,1023,Raisonnement biaisé,Tricherie,257,2,10,204
7.1,1281,Refus du débat,Obstruction,31,2,7,23
7.2,1312,Sabotage du débat,Obstruction,48,2,7,31
7.3,1360,Ad hominem,Obstruction,46,2,6,40
