Text,Text_en,Text_ru,Text_pt,print_and_play
"# Argumentum
## L'école des menteurs","# Argumentum
## The school of liars","# Argumentum
## Школа лжецов","# Argumentum
## Liars 'School",
"*Règles du jeu : de 4 à 8 joueurs*

## Matériel

* 1 paquet de cartes d’argument fallacieux organisées en 7 classes de couleurs,  chacune répartie en 3 ordres puis en 3 familles.
* 1 paquet cartes de scénario organisés en 7 thèmes identifiables sur leur dos
* 5 cartes mémo
* Règles de jeu
   
## Résumé du jeu

Les joueurs vont à tour de rôle essayer de faire deviner une carte d’argument fallacieux à une majorité d’autres joueurs, au cours d’une saynète d’improvisation à partir d'un scénario tiré au hasard. Tout en s’amusant, les joueurs apprennent ainsi à reconnaître, à décoder et donc à déconstruire les arguments fallacieux.

Argumentum s’appuie sur une classification de ces arguments fallacieux, rangés en ordres et en familles qui sont indiqués en haut de la carte. Par exemple, flatterie est une sous catégorie de l’appel aux émotions. Les cartes mémo résument cette classification.","*Rules of the game: 4 to 8 players*

## Game material

*   1 deck of fallacy cards organized in 7 color classes, order and families.
*   1 deck of scenario cards organized in 7 families identifiable on their back
*   5 memo cards
*   Game rules

## Game summary

Players will take turns trying to get a majority of other players to guess a spurious argument card during an improvisational skit based on a randomly drawn scenario. While having fun, players learn to recognize, decode and therefore deconstruct fallacious arguments.

Argumentum is based on a classification of fallacious arguments, arranged in orders and families that are indicated at the top of the cards. For example, flattery is a subcategory of the appeal to emotions. Memo cards summarize this classification.","*Правила игры: от 4 до 8 игроков*

## В комплект входит:

* 1 колода карт с псевдоаргументами, разделенными на 7 подгрупп по цветам. Каждая подгруппа делится на 3 класса, а те - на 3 семьи.
* 1 колода карт со сценариями, разделенными на 7 тем.
* 5 карт Мемо
* Правила игры

## Краткое описание игры

Игроки по очереди импровизируют ситуацию по случайной карте сценария, и пытаются сделать так, чтобы большинство угадало, какой псевдоаргумент был использован. Развлекаясь, игроки учатся распознавать, декодировать и, следовательно, обезвреживать ошибочные аргументы.

Игра основана на классификации ошибочных аргументов, расположенных по подгруппам, классам и семьям, которые указаны в верхней части карты. Например, ""Лесть"" - это субкатегория вызова эмоций. Карты Мемо напоминают об этой классификации.","*Regras de jogo: de 4 a 8 jogadores*

## material

* 1 pacote de cartões falaciosos organizados em 7 classes de cores, cada uma dividida em 3 ordens e depois em 3 famílias.
* 1 pacotes de pacotes organizados em 7 temas identificáveis ​​nas costas
* 5 cartões de memorando
* Regras do jogo
   
## Resumo do jogo

Os jogadores, por sua vez, tentarão adivinhar um cartão de argumento falacioso com a maioria dos outros jogadores, durante um SayNet de improvisação de um cenário aleatório. Enquanto se divertem, os jogadores aprendem a reconhecer, decodificar e, portanto, desconstruir os argumentos falaciosos.

Argumentum é baseado na classificação desses argumentos falaciosos, organizados em ordens e famílias que são indicadas no topo do mapa. Por exemplo, a Flatterie é uma sub -categoria da chamada para emoções. Os cartões de memorando resumem essa classificação.",
"## Installation

Selon le nombre de joueurs et le niveau de difficulté voulu, on constitue la pioche des cartes d’arguments fallacieux en ajoutant les niveaux indiqués en bas à droite des cartes par ordre croissant. Il en faut au minimum 7 x le nombre de joueurs.

On choisit la durée de la partie. Celle-ci comprend une succession de manches de 7 minutes environ. A l’issue du temps imparti, on finit la manche en cours et le joueur qui a le plus de points remporte la partie. Les cartes d’arguments fallacieux sont mélangées, ainsi que les cartes scénario.

On constitue 2 pioches de cartes scénario placées au milieu de la table. On distribue à chaque joueur 5 cartes d’arguments fallacieux qu’il garde pour lui. Le reste des cartes constitue la réserve.

Chaque joueur se munit d’un petit objet unique (pièce de monnaie, haricot…) pour le vote. Le premier piocheur est celui qui se rappelle en premier d'un argument trompeur.","## Installation

Depending on the number of players and the desired level of difficulty, the deck of fallacy cards is built up by adding the levels shown at the bottom right of the cards in ascending order. A minimum of 7 cards per player is required. 

Choose the duration of the game. This includes a succession of rounds of about 7 minutes. At the end of the defined time, finish the current round and the player who has the most points wins the game.

Fallacy cards are shuffled, as well as scenario cards. Two piles of scenario cards are made up and placed in the middle of the table. Each player is dealt 5 fallacy cards which they keep for themselves. The rest of the cards make up the draw pile. 

The first drawer is drawn at random. Each player has a small unique object (coin, bean...) for voting.","

## Начало игры

В зависимости от количества игроков и желаемого уровня сложности, мы раздаем карты ошибочных аргументов, минимум по 7 на игрока. Справа внизу на картах обозначен уровень сложности, вы можете выбирать тот, что нужен вам. 

Далее устанавливаем продолжительность игры. Игра состоит из последовательности раундов продолжительностью около 7 минут. По окончании этого времени мы заканчиваем текущий раунд, и игрок, у которого больше всего очков, выигрывает игру. 


Карты с псевдоаргументами перетасовываем, также и карты сценариев.


Мы делаем 2 стопки карт со сценариями, размещая их в середине стола. Каждый игрок получает 5 карт с ошибочными аргументами, которые он держит при себе. Остальная часть карт составляет резерв.

У каждого игрока есть своя фишка (монета, колечко и т. п.) для голосования. Очко получает тот, кто первым вспомнит название псевдоаргумента.
","## Instalação

Dependendo do número de jogadores e do nível desejado de dificuldade, constituímos o empate dos argumentos falaciosos, adicionando os níveis indicados no canto inferior direito das cartas em ordem crescente. Leva pelo menos 7 x o número de jogadores.

Escolhemos a duração do jogo. Isso inclui uma sucessão de rodadas de cerca de 7 minutos. No final do tempo alocado, terminamos a rodada atual e o jogador que tem mais pontos vence o jogo. Os argumentos falaciosos são misturados, bem como os cartões de cenário.

Constituímos 2 desenhos de cartões de cartão de cenário colocados no meio da mesa. Cada jogador é distribuído a 5 argumentos falaciosos que ele mantém para ele. O restante dos cartões constitui a reserva.

Cada jogador tem um pequeno objeto único (moeda, feijão, etc.) para a votação. O primeiro picador é quem primeiro se lembra de um argumento enganoso.",
"## Déroulé de la manche

### 1.       Le piocheur

Le piocheur tire une carte de scénario parmi les deux pioches disponibles et la lit à voix haute, à l’exception de la dernière phrase en italique au bas de la carte.

### 2.       Le baratineur

Le baratineur sera chargé de conduire l’argumentation du scenario, pour illustrer l’une de ses cartes d’argument fallacieux. Son objectif sera de faire deviner cette carte à une majorité d’autres joueurs.

Le rôle de baratineur est attribué au premier joueur qui pose, face cachée, la carte d’argument fallacieux qu’il compte jouer. A défaut, le joueur à la gauche du piocheur est désigné baratineur et pose sa carte.

### 3.       La saynète

Le piocheur amorce le débat comme il le souhaite. Il peut reprendre la suggestion de première réplique en italique au bas de la carte scénario. Le baratineur et le piocheur disposent alors d’une minute maximum pour improviser une discussion durant laquelle le baratineur va tâcher d’utiliser le type d’argument indiqué par la carte qu’il a choisie. ","## Course of a round

### 1.       The drawer

The drawer draws a scenario card from the two available piles and reads it aloud, except for the last sentence in italics at the bottom of the card.

### 2.       The smooth talker

The Smooth talker will be in charge of leading the argumentation of the scenario, to illustrate one of his fallacious argument cards. His objective will be to make a majority of other players guess this card, without everyone discovering it.

The role of the Smooth talker is assigned to the first player who lays, face down, the fallacy card he intends to play. Otherwise, the player to the left of the drawer is designated as the Smooth talker and places his card.

### 3.       The skit

The drawer starts the debate as he wishes. He can use the suggestion in italics at the bottom of the scenario map. The smooth talker and the drawer then have a maximum of one minute to improvise a discussion during which the smooth talker will try to use the type of argument indicated by the card he has chosen.","# Ход партии
### 1. Ведущий

Ведущий вытягивает карту сценария из одной из колод и читает вслух все за исключением последней фразы внизу карты.

### 2. Болтун

Задача болтуна – проиллюстрировать ситуацию с помощью одного из приемов, фигурирующих на одной из его карт. Его цель будет состоять в том, чтобы большинству других игроков удалось угадать название псевдоаргумента.

Роль болтуна отводится тому, кто первым положит карту с псевдоаргументом, который хочет использовать, текстом вниз. В противном случае болтуном становится игрок слева от ведущего.

### 3. Сценка

Ведущий начинает дебаты, как желает. Он может прочитать  предложение в нижней части карты сценария. Затем у болтуна и ведущего есть максимум минута для импровизации дискуссии, в ходе которой болтун попытается использовать тип аргумента, указанный выбранной им картой.
","# Roll of the English Channel

### 1. o pêssego

A gaveta desenha uma carta de cenário das duas escolhas disponíveis e da cama em voz alta, com exceção da última frase em itálico na parte inferior do cartão.

### 2. O baratineur

O Baratiner será responsável por conduzir o argumento do cenário, para ilustrar um de seus cartões de argumento falacioso. Seu objetivo será adivinhar esta carta para a maioria dos outros jogadores.

O papel de Baratineur é designado para o primeiro jogador que posa, em frente a Hidden, o argumento falacioso que ele pretende jogar. Caso contrário, o jogador à esquerda do picador é designado baratineur e coloca seu cartão.

### 3. SayNet

O picador inicia o debate como ele deseja. Ele pode retomar a sugestão de primeira réplica em itálico na parte inferior do cartão de cenário. O baratiner e o picador têm um minuto máximo para improvisar uma discussão durante a qual o baratineur tentará usar o tipo de argumento indicado pelo cartão que ele escolheu.",
"Le baratineur expose ses arguments et le piocheur lui donne la réplique sans chercher à dominer la scène. Le baratineur peut choisir d’écourter la saynète quand il le souhaite.

### 4.       Le jury

Tous les joueurs à l’exception du baratineur, mais piocheur compris, constituent le jury. A la fin de la saynète, chaque juré choisit parmi ses propres cartes celle qui se rapproche au mieux de l’argumentation entendue et la pose face cachée avec celle du baratineur. A 3 ou à 4 joueurs, les jurés choisissent 2 cartes.

Le baratineur ramasse les cartes, les mélange et les révèle au milieu de la table. Les jurés prennent connaissance des cartes révélées, un juré peut en faire la lecture à haute voix. Chacun des jurés lève le doigt pour signaler quand il est prêt à voter.

Quand le jury est prêt, sans concertation, chacun de ses membres désigne simultanément la carte qu’il pense avoir été jouée par le baratineur en y posant sont petit objet unique (ou à défaut en y posant le doigt).

### 5.       Le décompte

Le vainqueur de la manche est celui dont la carte a obtenu le plus grand nombre de vote, baratineur ou membre du jury (🥇👇👇…➜🏆). 
Il garde alors sa carte qui vaut 1 point et la pose, face visible devant lui.","The smooth talker presents his arguments and the drawer gives him the reply. The smooth talker can choose to shorten the skit at any time.

### 4.       The jury

All players except the smooth talker, but including the drawer, make up the jury. At the end of the skit, each member of the jury chooses among his own cards the one that comes closest to the argument heard and puts it face down with the one of the smooth talker. The latter picks up the cards, shuffles them and reveals them in the middle of the table.

The members of the jury take note of the revealed cards, one of them can read them out loud. When the jury is ready, without consultation, each of its members simultaneously designates the card that he thinks has been played by the smooth talker by placing his unique small object on it.

### 5.       The points count

If the smooth talker's card is designated by the whole jury, each draw a card except the smooth talker. His left neighbor becomes the next drawer.

Otherwise, the winner of the round is the one whose card has obtained the most votes, either as a smooth talker or as a member of the jury. ","Болтун демонстрирует свои аргументы, и ведущий отвечает ему, не стремясь доминировать на сцене. Болтун может остановить сценку, когда пожелает.

### 4. Жюри

Все игроки, за исключением болтуна, но включая ведущего, составляют жюри. В конце сценки каждый выбирает среди своих собственных карт те, что ближе к услышанному аргументу, и кладут их текстом вниз рядом с картой болтуна. Если играет 3-4 человека, то они кладут по 2 карты.

Болтун берет карты, смешивает их и раскрывает на середине стола. Все участники читают карты, ведущий может прочитать их вслух. Каждый из участников подает сигнал, чтобы указать, когда он готов проголосовать.

Когда участники готовы, без обсуждения, все одновременно кладут свою фишку на ту карту, которую, по их мнению, играл болтун. Если фишек нет, то они указывают на выбранную карту пальцем. 

### 5. Подсчет очков

Победителем этого круга является тот, чья карта получила наибольшее количество голосов, это может быть болтун или кто-то из игроков (🥇👇👇… ➜).
Победивший оставляет карту себе и кладет ее перед собой лицом вверх. Он получил 1 очко. 
","O baratiner exibe seus argumentos e o picador lhe dá a réplica sem tentar dominar a cena. O Baratinener pode optar por reduzir o Saynet quando desejar.

### 4. O júri

Todos os jogadores com exceção do baratineur, mas incluídos, constituem o júri. No final do Saynet, cada jurado escolhe entre seus próprios cartões que estão mais próximos do argumento ouvido e a instalação está escondida com a do baratineur. Com 3 ou 4 jogadores, os jurados escolhem 2 cartas.

O baratiner pega os cartões, os mistura e os revela no meio da mesa. Os jurados tomam nota dos cartões revelados, um jurado pode lê -lo em voz alta. Cada um dos jurados levanta o dedo para apontar quando estiver pronto para votar.

Quando o júri estiver pronto, sem consulta, cada um de seus membros designa simultaneamente o cartão que ele acha que foi interpretado pelo baratineur, posando, é um pequeno objeto único (ou falhando que colocando o dedo).

### 5. A contagem

O vencedor do canal é aquele cujo cartão obteve o maior número de votos, baratineur ou membro do júri (🥇👇👇… ➜).
Ele então mantém seu cartão, que vale 1 ponto e o rosto visível e deitado na frente dele.",
"En cas d’égalité (🥈👇👇≟🥈👇👇), le baratineur l'emporte (✅🎭➜🎭🏆), et à défaut (❌🎭), les jurés plébiscités qui ont trouvé la carte du baratineur sont tous déclarés vainqueurs (✅👇🎭➜👇🏆). Si aucun des jurés concernés ne l'a trouvée, c'est le baratineur qui l’emporte (❌👇🎭➜🎭🏆).

### 6.       Les pioches

Une fois le vainqueur désigné, les joueurs piochent dans la réserve un certain nombre de cartes:

* Le vainqueur de la manche ne pioche pas de nouvelle carte. (✅🏆➜❌0🎴)
* Tous les autres joueurs piochent une carte (❌🏆➜✅1🎴), ou 2 cartes à 3 ou 4 joueurs
* Les membres du jury qui ont obtenu des votes piochent une carte de plus (✅🧲👇➜✅+1🎴)
* Les jurés qui ont trouvé la carte du baratineur piochent une carte de plus (✅👇🎭➜✅+1🎴)
* Les cartes jouées sont remises à la réserve.
* Le voisin de gauche du vainqueur devient le piocheur de la manche suivante.

## Variantes :

*Si la carte du baratineur est désignée par l’ensemble du jury, il ne remporte pas la manche, chacun pioche une carte dans la réserve à l’exception du baratineur.
* Au cours de la saynète, n'importe quel membre du jury peut utiliser une carte de son jeu pour intervenir dans le rôle du piocheur. Si son intervention illustre bien sa carte, il en repioche une et sera désigné le prochain piocheur, sinon, il perd sa carte et la partie reprend son cour.
* Le piocheur a le droit de désigner directement le baratineur de la manche.
* Si le piocheur gagne, il gagne également la carte du baratineur.
* Le baratineur peut poser plusieurs cartes. Autant de vainqueurs au nombre de votes sont déclarés, le baratineur pouvant remporter tout ou partie de ses cartes.
* Le vainqueur de la partie doit incarner le baratineur d’un ultime scenario où il doit mettre en jeu toutes les cartes qu’il a gagnées au cours de la partie.","He scores 3 points. He does not draw a new card. In the event of a tie, the players who have found the card of the smooth talker are declared winners, and failing that the smooth talker wins.

With the exception of the winner, each player earns 1 point if their card has been chosen by at least one member of the jury and another point if they have found the smooth talker's card. The other players, including the smooth talker if he has not won the round, draw a card. Played cards are returned to the deck.

The winner's left-hand neighbour becomes the drawer for the next round.

## Variants :

*        During the sketch, any member of the jury can use a card from his game to intervene in the role of the picker. If his intervention illustrates his card well, he picks up one and will be designated the next picker, otherwise, he loses his card and the game resumes its court.
*        The drawer has the right to directly designate the smooth talker for the round.        
*        The winner of the game has to play the smooth talker for a final scenario where he has to play all the cards he won during the game.","В случае равного количества голосов (🥈👇👇≟🥈👇👇) побеждает болтун (✅🎭➜🎭🏆), в противном случае (❌🎭), победителями объявляются те, кто угадал карту болтуна (✅👇 🎭 ➜👇🏆). Если никто не угадал карту, то выигрывает болтун. 

### 6 Колоды 

После того, как победитель был определен, игроки берут из колоды по несколько карт: 

* Победитель раунда не берет новую карту. (✅🏆➜❌0🎴) 
* Все остальные игроки берут из колоды по 1 карте (❌🏆 бренди ❌🏆1🎴) или по 2 карты, если играют втроем или вчетвером.  
* Игроки, получившие голоса, берут еще по одной карте  (✅🧲👇➜✅+1🎴) 
* Игроки, которые угадали карту болтуна, берут еще по одной карте (✅👇🎭➜✅+1🎴) 
* Сыгранные карты возвращаются в резерв. 
* Игрок слева от победителя становится ведущим следующего раунда. 

## Варианты: 

*Если карта Болтуна угадана всеми игроками, он не выигрывает раунд, каждый берет по карте из резерва, за исключением болтуна. 
* Во время сценки любой игрок может использовать свою карту и ответить от лица ведущего. Если его реплика была меткой, он берет еще одну карту и будет назначен следующим ведущим, если нет, он теряет свою карту, и игра продолжается. 
*Ведущий имеет право напрямую назначать кого-то болтуном. 
* Если ведущий выиграет, он забирает также и карту болтуна. 
* Победителем всей игры будет болтун, разыгравший в последнем сценарии все карты, которые он забрал в ходе партии. 

Болтун демонстрирует свои аргументы, и ведущий отвечает ему, не стремясь доминировать на сцене. Болтун может остановить сценку, когда пожелает.","No caso de igualdade (🥈👇👇≟🥈👇👇), o baratineur prevalece (✅🎭➜🎭🏆 ✅🎭➜🎭🏆 ✅🎭➜🎭🏆), e falhando nisso (❌🎭), os jurados aclamados que encontraram o cartão Baratineur são todos declarados vitoriosos (✅👇 ✅👇 🎭 Marca). Se nenhum dos jurados em questão o encontrou, é o baratineur que ganha (marca).

### 6. Escolhas

Depois que o vencedor for designado, os jogadores desenham uma série de cartas na reserva:

* O vencedor do canal não desenha uma nova carta. (✅🏆Eceds0🎴)
* Todos os outros jogadores desenham uma carta (❌🏆 Brandies ❌🏆1🎴) ou 2 cartas em 3 ou 4 jogadores
* Os membros do júri que obtiveram votos desenham mais uma carta (✅🧲👇➜✅+1🎴)
* Os jurados que encontraram o cartão Baratineur desenham mais uma carta (✅👇🎭➜✅+1🎴)
* As cartas jogadas são devolvidas à reserva.
* O vizinho esquerdo do vizinho se torna o próximo cabo da próxima rodada.

## variantes:

*Se o cartão Baratineur for designado por todo o júri, ele não ganha a rodada, cada um desenhe uma carta na reserva, exceto o baratineur.
* Durante o Saynet, qualquer membro do júri pode usar uma carta de seu jogo para intervir no papel de pickaxe. Se sua intervenção ilustrar bem o cartão, ele reipoca um e será nomeado a próxima picareta, se não, ele perde o cartão e o jogo assume sua quadra.
* Picher tem o direito de designar diretamente o baratineur do canal.
* Se o picador vencer, ele também vence o cartão Baratineur.
* O baratineur pode definir vários cartões. Muitos vencedores de votação são declarados, o Baratinener que pode ganhar todas ou parte de suas cartas.
* O vencedor do jogo deve incorporar o baratinener de um cenário final, onde ele deve colocar em jogo todas as cartas que ganhou durante o jogo.",
"# Argumentum
## Le Bingo mixologie argumentative","# Argumentum
## The school of liars","# Argumentum
## Школа лжецов","# Argumentum
## a mixologia de bingo argumentativa",
"*Règles du jeu :  de 1 à 20 joueurs*

## Matériel

* 1 débat ou 1 discours auquel les joueurs vont assister ensemble et qui pourra faire l'objet d'un revisionage.
* De quoi prendre des notes, et un moyen de noter le temps écoulé depuis le début du débat.
* 1 ou plusieurs paquets des cartes d’argument fallacieux

   
## Résumé du jeu

Muni d'une grille de bingo constituée par les cartes d'arguments fallacieux tirées au sort, les joueurs vont tâcher de repérer celles de leurs cartes illustrées pendant le débat. 
Aux termes du débat, le joueur qui aura repéré le plus grand nombre d'arguments fallacieux, après validation par une majorité d'autres joueurs, remporte la partie.

## Installation

On divise au hasard l'ensemble des cartes d'arguments fallacieux disponible entre tous les joueurs, à hauteur de 10 cartes par personne.
Chaque joueur prend connaissance de ses cartes, les dispose en s'assurant de les garder au mieux en tête, et s'installe pour assister au débat.","*Game rules: from 1 to 20 players*

## Material

* 1 debate or 1 speech to which the players will attend together and which can be revised.
* Enough to take notes, and a way to note the time elapsed since the start of the debate.
* 1 or more packages of fallacious argument cards

   
## Summary of the game

Equipped with a bingo grid made up of the fallacious arguments drawn, the players will try to identify those of their illustrated cards during the debate.
Under the terms of the debate, the player who has spotted the greatest number of fallacious arguments, after validation by a majority of other players, wins the game.

## Facility

We have randomly divide all the fallacious arguments available between all players, up to 10 cards per person.
Each player takes note of his cards, has them by ensuring that they keep them in mind, and settles down to attend the debate.","*Правила игры: от 1 до 20 игроков*

## Потребуется: 

* Дебаты или выступление, которое игроки будут смотреть вместе, и которое можно переслушать.
* Бумага для записи и способ засечь время, прошедшее с начала дебатов.
* 1 или более комплектов карт с псевдоаргументами.

   
## Краткое содержание игры

Игроки берут равное количество карт с псевдоаргументами каждый и во время просмотра попытается во время дебатов обнаружить иллюстрации этих приемов.
Игрок, который заметил наибольшее количество ошибочных аргументов, после проверки другими игроками объявляется победителем. 

## Начало игры

Мы случайным образом распределяем все ошибочные аргументы между всеми игроками, например, по 10 карт на человека.
Каждый игрок смотрит в свои карты, после этого начинается трансляция дебатов. ","*Regras de jogo: de 1 a 20 jogadores*

## material

* 1 debate ou 1 discurso para o qual os jogadores comparecerão juntos e que podem ser revisados.
* O suficiente para fazer anotações e uma maneira de observar o tempo decorrido desde o início do debate.
* 1 ou mais pacotes de cartões de argumento falaciosos

   
## Resumo do jogo

Equipados com uma grade de bingo composta pelos argumentos falaciosos desenhados, os jogadores tentarão identificar os de suas cartas ilustradas durante o debate.
Sob os termos do debate, o jogador que viu o maior número de argumentos falaciosos, após a validação da maioria dos outros jogadores, vence o jogo.

## Instalação

Dividimos aleatoriamente todos os argumentos falaciosos disponíveis entre todos os jogadores, até 10 cartas por pessoa.
Cada jogador obtém nota de suas cartas, garantindo -as que eles tenham em mente e se estabelecem para participar do debate.",
"## Pendant le débat

Chaque joueur écoute les arguments formulés. S'il repère un argument qui relève de l'une des cartes de sa grille de bingo, il note le temps écoulé, un début de citation qui permettra de retrouver le bon passage, et le nom de sa carte accompagné au besoin d'un peu de contexte pour pouvoir restituer plus tard à l'oral son analyse.

## Validations post-débat

Les joueurs qui revendiquent le plus grand nombre de cartes utilisées sont sélectionnés pour validation.

On établit à partir de leurs notes et de l'enregistrement la séquence des moments où chacune de leurs cartes a été utilisée. 
Pour chacune des cartes, on repasse le moment incriminé et le joueur explicite pourquoi l'argumentation relève de sa carte.
L'assemblée vote à main levée pour valider ou pas son analyse.

## Conditions de victoire

Le score final des joueurs est le nombre de leurs cartes validées par l'assemblée
Si à l'issu d'un premier décompte, d'autres joueurs non sélectionnés se retrouvent désormais avec plus de cartes que le meilleur score validé, on procède à leur validation, et ainsi de suite jusqu'à ce que le meilleur score validé ne soit plus contestable.

Les joueurs ayant obtenu le meilleur score sont déclarés vainqueurs","## during the debate

Each player listens to the arguments formulated. If he spots an argument that is one of the cards of his bingo grid, he notes the past time, a beginning of quote which will allow us to find the right passage, and the name of his card accompanied if necessary a Little context to be able to restore his analysis later orally.

## Post-debate validations

Players who claim the largest number of cards used are selected for validation.

From their notes and recording the sequence of moments when each of their cards has been established.
For each of the cards, we go back to the accused moment and the explicit player why the argument is his card.
The assembly votes by hand to validate or not its analysis.

## Victory conditions

The final score of players is the number of their cards validated by the Assembly
If at the end of a first statement, other unrealized players are now found with more cards than the best validated score, they are validated, and so on until the best validated score does not is more questionable.

Players who have obtained the best score are declared victors","## Во время дебатов

Каждый игрок слушает сформулированные аргументы. Если он заметит аргумент, который соответствует одной из его карт, он записывает таймкод, начало цитаты, которая позволит нам найти правильный отрывок, и название его карты, а также, если это необходимо, контекст, чтобы легче восстановить ситуацию.

## Проверка постфактум

Игроки, которые претендуют на победу, проверяются остальными.

По их заметкам и таймкодам мы возвращаемся к соответствующему моменту на записи и проверяем, действительно ли применен тот аргументативный прием, о котором утверждает игрок. 
Все присутствующие голосуют.
 
## Условия победы

Проводится окончательный подсчет. 
Победителем объявляется тот, у кого осталось наибольшее число карт после проверки. ","## durante o debate

Cada jogador ouve os argumentos formulados. Se ele vê um argumento que é um dos cartões de sua grade de bingo, ele observa o tempo passado, um começo de citação que nos permitirá encontrar a passagem certa e o nome de seu cartão acompanhado, se necessário, um pouco de contexto para ser capaz de restaurar sua análise mais tarde oralmente.

## Valitações pós-de-debate

Os jogadores que afirmam que o maior número de cartões utilizados são selecionados para validação.

De suas anotações e registrando a sequência de momentos em que cada um de seus cartões foi estabelecido.
Para cada uma das cartas, voltamos ao momento acusado e ao jogador explícito por que o argumento é seu cartão.
A Assembléia vota manualmente para validar ou não sua análise.

## Condições de vitória

A pontuação final dos jogadores é o número de suas cartas validadas pela Assembléia
Se no final de uma primeira declaração, outros jogadores não realizados agora são encontrados com mais cartas do que a melhor pontuação validada, eles serão validados e assim por diante até que a melhor pontuação validada não seja mais questionável.

Jogadores que obtiveram a melhor pontuação são declarados vencedores",
"# Argumentum
## Le dernier beau parleur","# Argumentum
## The last beautiful speaker","# Argumentum
## Последний оратор","# Argumentum
## o último lindas orador",
